id,类别,文本
3034,8,呵呵，您在美帝待过没？？？我表示非常怀疑，有种东西叫政治正确，你黑犹太人，骂黑人试试看，小朋友不要天天想着跪舔……
22051,8,《绿皮书》那个电影看得我心情复杂，一个黑人钢琴家，就算再出名都改变不了白种人对他的种族歧视。但是一想到在广州的黑人各种恶心的行为，又觉得种族歧视是没错的。只希望国家能赶紧把非法滞留的黑人赶走吧……
7555,4,绿茶之所以绿茶就是因为与她相遇快乐冒花
17311,5,太轻了，强奸判三年，你告他还有可能被报复，应该判一辈子，或者阉割
13913,9,MUGEN EX VOL 9 人体喷泉!强烈な潮吹きホール!(MX-09)
18665,9,狂插淫洞
8387,0,"四川本地人都挂在嘴边的，可以用来吵架，但是更多还是朋友之间玩笑话。性侵犯(SO), overreact？"
18826,8,作为印度角色的Rajesh讽刺了多少集印度？谢尔顿跟他妈歧视黑人至少七八次了。这都是日常生活的一部分，只能说心眼太窄了。
10567,8,别的我不知道，我只知道国外西方媒体肯定又就此事大作文章，就像疫情期间广州黑人受到歧视殴打护士，澳籍跑步女事件[发呆][发呆]
9196,8,"感觉歧视黑人的较多,一个我很喜欢的博主,她男朋友是黑人,然后她下面的评论是这样,气死我了,太多了,不截图了"
17865,8,你也只敢在这里匿名黑黑人家了，凭事实说话可以吗？如果是一个人的观点就不要放在这上面了，令人恶心
15857,9,亚洲淫娃
13761,0,河南曾经的一个案子就是，妻子被发现死在一个坑里，丈夫被判杀人，结果十几年后，应该死了的妻子回来了，发现的那具尸体是另外一个人的，程序正义会放走罪犯，但也能避免冤案，世间没有双全法，唉
3275,8,那这个黑人女生怎么受教育成功的？奥巴马怎么成功的？还有很多良民有成就的黑人。
9607,6,梁 光 烈
2454,6,消灭共产帝国
19580,6,温下台
3531,6,江毒
18305,0,我们说过上海人说上海话是排外歧视？自己幻想？
12517,6,bajiu
7555_aug1,4,绿茶之所以这么绿茶，就是因为跟她在一起时总是快乐得像花儿一样
7555_aug2,4,绿茶之所以显得绿茶，全是因为和她在一起时开心得像开了花
7555_aug3,4,绿茶之所以显得那么绿茶，就是因为和她在一起时快乐得像花儿绽放
7555_aug4,4,绿茶之所以被人说绿茶，就是因为和她在一起时总是开心得像花儿一样绽放
17311_aug1,5,太轻了，强奸判三年，你告他可能还遭报复，应该判终身监禁，或者直接阉了
17311_aug2,5,这刑罚太轻了，强奸判三年，告他反而可能被报复，应该判一辈子，甚至直接阉了
17311_aug3,5,判三年太少了，强奸犯要是被起诉，还可能遭报复，应该判终身监禁，或者直接阉了
17311_aug4,5,强奸判三年太轻了，告他反而有被报复的风险，应该判一辈子，或者直接阉了
